City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Bangolo,CI,70.29,overcast clouds,7.01,-7.47,HÔTEL MATCHÊDÉ
653,Soyo,AO,77.45,overcast clouds,-6.13,12.37,Hotel Mpampa
654,Biu,NG,71.74,scattered clouds,10.61,12.19,EYN LCC MANDARAGIRAU
656,Port Moresby,PG,85.24,scattered clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
657,Magway,MM,83.66,few clouds,20.15,94.92,Htein Htein Thar 2
659,Sabang,ID,79.79,overcast clouds,5.89,95.32,Hotel Citra
661,Samarai,PG,85.66,clear sky,-10.62,150.67,Nuli Sapi
662,Emilio Carranza,MX,71.56,broken clouds,19.97,-96.61,casa carranza
664,Alto Araguaia,BR,70.0,overcast clouds,-17.31,-53.22,Araguaia Palace Hotel
665,Nuevo San Carlos,GT,74.84,overcast clouds,14.6,-91.7,Hotel Costa Real
667,Phonhong,LA,89.42,clear sky,18.5,102.42,Napakuang Resort
671,Maceio,BR,80.04,scattered clouds,-9.67,-35.74,Poutur Pousada
676,Kumluca,TR,71.06,few clouds,36.37,30.29,TurkuazKöy
