City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Sechura,PE,-5.56,-80.82,64.87,81,22,12.88,few clouds
159,Gorontalo,ID,0.54,123.06,87.94,69,94,2.37,overcast clouds
160,Wahpeton,US,46.27,-96.61,52.92,66,1,9.22,clear sky
161,Saskylakh,RU,71.92,114.08,2.53,96,53,7.7,broken clouds
162,Broome,US,42.25,-75.83,36.77,67,0,3.0,clear sky
163,Chihuahua,MX,28.50,-106.00,63.61,35,5,3.62,clear sky
164,Hithadhoo,MV,-0.60,73.08,82.98,70,86,15.17,overcast clouds
165,Kieta,PG,-6.22,155.63,84.34,70,20,5.79,light rain
166,Richards Bay,ZA,-28.78,32.04,69.71,87,99,2.73,overcast clouds
167,Moyale,KE,3.52,39.06,66.38,87,80,6.24,light rain
168,Mormugao,IN,15.40,73.80,81.66,74,40,4.61,scattered clouds
169,Vila Velha,BR,-20.33,-40.29,71.94,85,75,3.0,broken clouds
170,San Lorenzo,PY,-25.33,-57.53,68.94,94,40,5.99,scattered clouds
171,Pishin,PK,30.58,67.00,57.52,36,1,0.4,clear sky
172,Cajati,BR,-24.74,-48.12,66.11,96,92,1.54,overcast clouds
173,Pangkalanbuun,ID,-2.68,111.62,93.15,53,48,2.01,light rain
174,Batemans Bay,AU,-35.72,150.18,82.2,89,62,7.4,light rain
175,Bowen,AU,-20.02,148.23,88.02,61,64,11.45,broken clouds
176,Ulaanbaatar,MN,47.91,106.88,15.93,38,0,2.24,clear sky
177,Bethel,US,41.37,-73.41,39.15,82,0,1.57,clear sky
178,Lovozero,RU,68.00,35.01,24.49,85,100,7.58,overcast clouds
179,Cap Malheureux,MU,-19.98,57.61,80.47,67,5,10.0,clear sky
180,Fortuna,US,40.60,-124.16,48.97,74,75,1.01,broken clouds
181,Sabha,LY,27.04,14.43,67.77,31,0,12.03,clear sky
182,Verkh-Chebula,RU,56.03,87.62,27.39,81,100,21.41,overcast clouds
183,Primorsk,UA,46.73,36.34,45.18,73,45,8.08,scattered clouds
184,Souillac,MU,-20.52,57.52,80.37,78,40,10.36,scattered clouds
185,Eguia,PH,15.91,119.89,90.21,58,10,2.95,clear sky
186,Fort Nelson,CA,58.81,-122.70,29.79,100,90,5.75,light snow
187,Port Elizabeth,ZA,-33.92,25.57,60.1,94,75,13.8,broken clouds
188,San Rafael,AR,-34.62,-68.33,56.16,51,0,5.5,clear sky
189,Langres,FR,47.83,5.33,32.85,90,79,4.65,broken clouds
190,Gizo,SB,-8.10,156.84,85.12,66,21,7.34,light rain
191,Yarada,IN,17.65,83.27,80.92,65,20,6.91,haze
192,Alice Springs,AU,-23.70,133.88,71.15,88,90,10.36,light intensity shower rain
193,Forestville,US,38.85,-76.88,48.27,83,1,1.01,clear sky
194,Marzuq,YE,14.40,46.47,68.43,25,32,2.21,scattered clouds
195,Komsomolskiy,UZ,40.43,71.72,36.32,69,40,2.3,mist
196,Namibe,AO,-15.20,12.15,69.24,84,100,6.2,overcast clouds
